PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Anthony Brown,ORL,24,11,3,8,14.5,102.0,100.7,1.3,8.0,1.33,12.5,4.8,16.3,10.4,9.4,43.0,43.0,15.8,94.67,5.8,204,373,SF,24,14.5,1.6,4.5,0.36,0.6,2.5,0.259,1.0,2.1,0.478,0.43,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9,NO/ORL,11,14.5,-1.42,-0.34,-1.76,0.08,5.8,94.67,3,0.06,11.0,3.0,3.0
Mike Scott,ATL,28,18,7,11,10.8,93.3,101.7,-8.5,15.0,2.13,19.4,5.3,17.1,10.6,9.1,32.2,36.0,16.5,97.93,5.8,227,432,PF,28,10.8,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,2.5,ATL,18,10.8,-2.92,0.26,-2.66,0.06,5.8,97.93,7,3.33,7.0,2.0,1.0
Corey Brewer,LAL,31,82,47,35,15.6,107.5,104.6,3.0,10.4,1.76,18.3,2.7,11.8,7.2,10.4,46.1,49.1,14.5,101.21,5.7,197,348,SF,30,15.6,1.8,4.2,0.422,0.3,1.4,0.2289999999999999,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,HOU/LAL,82,15.6,-1.75,1.0,-0.75,1.99,5.7,101.21,47,7.61,314.0,51.5,15.5
Randy Foye,BKN,33,69,17,52,18.6,101.9,108.9,-7.0,15.3,1.69,23.8,0.7,12.4,6.5,14.1,46.6,50.6,14.5,103.71,5.7,183,318,SG,33,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,BKN,69,18.6,-2.7,-1.42,-4.12,-0.85,5.7,103.71,17,2.5,267.5,2.0,4.0
Chandler Parsons,MEM,28,34,18,16,19.8,104.1,107.6,-3.6,12.2,2.29,17.2,1.0,14.1,7.3,7.5,39.4,43.6,18.4,94.04,5.6,168,275,SF,28,19.9,2.2,6.5,0.3379999999999999,0.7,2.7,0.2689999999999999,1.5,3.8,0.3879999999999999,0.3939999999999999,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,MEM,34,19.9,-3.51,-0.33,-3.84,-0.29,5.6,94.04,18,22.12,555.5,59.0,16.0
Isaiah Canaan,CHI,26,39,19,20,15.2,99.9,106.7,-6.8,9.9,1.76,15.1,1.0,8.2,4.5,8.6,43.6,48.3,15.6,96.46,5.6,194,342,SG,25,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1.0,2.0,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,CHI,39,15.2,-3.0,-1.12,-4.12,-0.37,5.6,96.46,19,1.02,180.5,24.5,8.0
Brandon Ingram,LAL,19,79,26,53,28.9,104.6,112.6,-8.0,10.5,1.43,15.6,2.8,12.8,7.6,10.9,44.2,47.4,16.9,100.45,5.5,112,164,SF,19,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.4429999999999999,0.442,1.7,2.7,0.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,LAL,79,28.8,-1.76,-2.93,-4.69,-2.32,5.5,100.45,26,5.28,1203.0,194.0,100.0
Anthony Morrow,CHI,31,49,25,24,14.6,104.6,106.4,-1.8,5.2,4.17,8.4,1.8,3.0,2.4,2.0,47.0,50.5,16.1,99.75,5.5,178,306,SG,31,14.6,2.0,5.1,0.389,0.8,2.7,0.308,1.2,2.4,0.479,0.47,0.7,0.8,0.919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,CHI/OKC,49,14.6,-0.66,-1.46,-2.12,0.46,5.5,99.75,25,3.49,177.5,0.0,5.0
Troy Williams,HOU,22,30,19,11,18.6,100.1,105.5,-5.4,7.2,0.78,10.5,2.9,10.7,6.8,13.4,49.1,51.1,17.1,98.77,5.5,169,278,SF,22,18.6,2.4,5.6,0.437,0.6,2.1,0.29,1.8,3.5,0.524,0.491,0.7,1.1,0.6559999999999999,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2.0,6.2,HOU/MEM,30,18.6,-3.06,-0.45,-3.51,-0.14,5.5,98.77,19,1.58,72.0,5.0,9.0
Dante Exum,UTA,21,66,40,26,18.6,103.6,101.6,2.0,14.4,1.39,18.9,2.9,9.1,6.1,13.6,48.8,52.1,18.1,94.42,5.4,165,270,PG,21,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2,UTAH,66,18.6,-2.14,-0.65,-2.79,0.25,5.4,94.42,40,3.94,483.0,48.5,28.0
Andrew Harrison,MEM,22,72,38,34,20.5,102.3,102.5,-0.3,20.9,2.33,27.2,1.7,9.0,5.3,11.7,38.5,47.7,16.4,94.76,5.3,172,290,PG,22,20.5,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,MEM,72,20.5,-1.2,-0.38,-1.58,1.38,5.3,94.76,38,1.31,5.0,0.0,17.0
Rashad Vaughn,MIL,20,41,18,23,11.2,99.4,107.0,-7.6,8.5,1.64,11.8,1.0,11.2,6.0,7.2,44.9,44.9,17.3,96.36,5.2,211,383,SG,20,11.2,1.4,3.8,0.365,0.6,2.0,0.321,0.8,1.8,0.413,0.449,0.0,0.1,0.4,0.1,1.1,1.2,0.6,0.5,0.2,0.3,0.8,3.5,MIL,41,11.2,-3.44,-0.89,-4.33,-0.35,5.2,96.36,18,1.81,128.0,2.0,7.0
Kris Dunn,MIN,23,78,30,48,17.1,105.7,108.6,-2.8,20.0,2.11,30.5,2.1,13.1,7.4,14.4,41.1,43.2,14.2,96.78,5.1,207,376,PG,22,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.4039999999999999,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8,MIN,78,17.1,-2.64,-0.41,-3.05,0.06,5.1,96.78,30,3.87,597.5,165.0,47.0
Jarrett Jack,NOP,33,2,1,1,16.5,88.1,102.4,-14.3,26.3,1.67,42.1,0.0,0.0,0.0,25.3,66.7,77.3,9.0,97.67,5.1,218,400,PG,33,16.5,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,1.5,2.0,3.0,NO,2,16.5,-1.85,0.01,-1.84,0.03,5.1,97.67,1,0.06,245.5,11.5,7.0
Domantas Sabonis,OKC,21,81,46,35,20.1,102.0,101.9,0.2,7.3,0.99,12.1,3.2,16.4,9.8,12.3,45.2,46.9,15.8,99.61,4.9,173,291,PF,20,20.1,2.4,5.9,0.3989999999999999,0.6,2.0,0.321,1.7,4.0,0.4379999999999999,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,OKC,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46,2.44,550.5,0.0,82.0
Rakeem Christmas,IND,25,29,14,15,7.6,97.7,108.3,-10.6,2.7,0.5,5.9,12.7,15.7,14.1,11.8,44.2,52.9,12.3,98.43,4.9,230,442,PF,25,7.6,0.7,1.5,0.442,0.0,0.0,,0.7,1.5,0.442,0.442,0.7,1.0,0.7240000000000001,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,2.0,IND,29,7.6,-2.2,0.5,-1.7,0.2,4.9,98.43,14,1.47,185.0,13.0,3.0
Stanley Johnson,DET,21,77,35,42,17.8,104.0,103.7,0.2,10.6,1.48,18.6,2.9,12.9,7.7,12.6,41.5,43.6,14.8,96.99,4.8,199,353,SF,20,17.8,1.7,4.7,0.353,0.6,2.0,0.292,1.1,2.7,0.3979999999999999,0.415,0.5,0.7,0.679,0.5,2.0,2.5,1.4,0.7,0.3,0.9,1.6,4.4,DET,77,17.8,-2.34,-0.04,-2.38,0.63,4.8,96.99,35,2.97,10.0,0.0,19.0
DeAndre Liggins,DAL,29,62,40,22,12.5,108.2,105.4,2.8,9.7,1.29,21.1,2.9,12.4,7.8,16.4,44.7,47.6,11.6,97.12,4.6,225,428,SG,28,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,CLE/DAL,62,12.5,-3.13,0.76,-2.37,0.37,4.6,97.12,40,1.58,150.5,2.0,2.0
Kyle Singler,OKC,29,32,15,17,12.0,102.0,101.2,0.8,3.4,0.82,8.1,2.2,12.3,7.0,10.0,45.2,48.6,11.3,99.19,4.6,221,415,SF,28,12.0,1.1,2.6,0.41,0.2,1.2,0.1889999999999999,0.8,1.4,0.5870000000000001,0.452,0.4,0.5,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,OKC,32,12.0,-3.25,0.9,-2.35,0.19,4.6,99.19,15,4.84,354.0,9.0,6.0
Paul Pierce,LAC,39,25,16,9,11.1,107.4,105.0,2.4,4.9,0.63,9.8,0.4,16.8,9.2,15.7,50.7,53.5,14.9,97.71,4.4,216,396,SF,39,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.5,0.769,0.0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,LAC,25,11.1,-2.04,1.24,-0.8,0.4,4.4,97.71,16,3.53,1671.0,346.5,142.0
Brandon Rush,MIN,31,47,15,32,21.9,108.9,109.8,-0.8,5.8,1.61,16.8,1.9,8.9,5.5,10.5,49.2,50.5,9.7,96.76,4.3,202,363,SG,31,21.9,1.5,4.0,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.4,0.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2,MIN,47,21.9,-3.13,-0.73,-3.86,-0.48,4.3,96.76,15,3.5,412.5,14.0,1.5
Cameron Payne,CHI,22,31,16,15,14.9,95.9,104.6,-8.7,19.5,1.9,19.6,0.7,11.1,5.7,10.3,40.2,40.7,21.5,98.86,4.1,184,319,PG,22,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.346,0.402,0.2,0.3,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,CHI/OKC,31,14.9,-4.14,-0.31,-4.45,-0.39,4.1,98.86,16,2.11,324.5,38.5,21.0
Miles Plumlee,CHA,28,45,19,26,10.8,101.1,107.0,-5.9,6.5,0.7,13.1,9.3,12.7,11.1,18.7,47.8,51.8,13.1,95.64,4.0,226,431,C,28,10.8,1.0,2.0,0.478,0.0,0.0,,1.0,2.0,0.478,0.478,0.6,0.9,0.6409999999999999,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,MIL/CHA,45,10.8,-2.79,0.52,-2.27,0.25,4.0,95.64,19,12.5,362.0,11.0,3.0
Dragan Bender,PHX,19,43,13,30,13.3,105.0,107.0,-2.0,5.7,0.72,10.4,4.3,15.5,9.8,14.5,44.1,44.0,14.8,100.06,3.3,213,386,PF,19,13.3,1.3,3.7,0.354,0.7,2.3,0.2769999999999999,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,PHX,43,13.3,-3.2,-0.68,-3.88,-0.28,3.3,100.06,13,4.28,495.0,,
Andrew Nicholson,BKN,27,38,20,18,9.0,96.0,113.6,-17.6,4.7,0.59,6.9,5.0,15.6,10.2,11.8,41.0,42.7,17.8,97.45,3.1,224,425,PF,27,9.0,1.1,2.9,0.387,0.1,0.7,0.185,1.0,2.2,0.452,0.41,0.2,0.4,0.643,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,BKN/WSH,38,9.0,-3.54,-0.67,-4.21,-0.23,3.1,97.45,20,6.09,3.0,5.0,5.0
Jared Sullinger,TOR,25,11,2,9,10.7,89.7,105.6,-15.8,4.8,0.75,5.2,7.9,18.5,12.3,7.0,35.1,36.6,20.4,96.58,2.7,214,389,PF,24,10.7,1.4,4.3,0.319,0.3,1.6,0.1669999999999999,1.1,2.6,0.414,0.351,0.4,0.7,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,TOR,11,10.7,-2.7,0.9,-1.8,0.1,2.7,96.58,2,5.63,368.5,11.0,2.0
Greivis Vasquez,BKN,30,3,1,2,12.9,95.9,114.6,-18.7,18.5,5.0,32.6,0.0,5.1,2.4,6.5,31.3,37.6,11.0,102.41,0.9,228,435,PG,30,13.0,0.7,2.7,0.25,0.3,1.0,0.3329999999999999,0.3,1.7,0.2,0.313,0.7,1.0,0.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3,BKN,3,13.0,-1.77,-0.38,-2.15,0.03,0.9,102.41,1,4.35,39.0,10.0,8.5
Alonzo Gee,DEN,30,13,4,9,6.9,107.8,106.3,1.4,9.2,1.5,21.5,4.6,13.6,8.9,14.3,21.4,30.6,10.8,104.33,0.8,238,475,SF,29,6.8,0.2,1.1,0.214,0.0,0.2,0.0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,DEN,13,6.8,-2.11,0.43,-1.68,0.08,0.8,104.33,4,0.06,109.0,,
Lamar Patterson,ATL,25,5,1,4,8.1,100.2,83.4,16.8,25.0,1.5,22.8,2.7,13.3,8.5,15.2,23.3,27.6,23.4,93.96,-0.4,232,452,SG,25,8.0,0.6,3.0,0.2,0.2,1.2,0.1669999999999999,0.4,1.8,0.222,0.233,0.4,0.6,0.667,0.2,1.2,1.4,1.2,0.2,0.0,0.8,1.2,1.8,ATL,5,8.0,-2.23,0.62,-1.61,0.03,-0.4,93.96,1,0.25,82.0,4.0,4.0
